{'pra': '0', 'tau': '00', 'acc_before': 0.984477245687091, 'acc_after': 0.9788816180844735, 'attempts': 5} 
{'pra': '0', 'tau': '05', 'acc_before': 0.9850163593099346, 'acc_after': 0.9804431885782272, 'attempts': 5} 
{'pra': '0', 'tau': '10', 'acc_before': 0.9878234681737061, 'acc_after': 0.9763347709696609, 'attempts': 11} 
{'pra': '0', 'tau': '15', 'acc_before': 0.9912998215348007, 'acc_after': 0.9847003271861987, 'attempts': 5} 
{'pra': '0', 'tau': '20', 'acc_before': 0.9932331945270673, 'acc_after': 0.9877305175490779, 'attempts': 6} 
{'pra': '0', 'tau': '30', 'acc_before': 0.9951107971445569, 'acc_after': 0.9885856632956573, 'attempts': 6} 
{'pra': '0', 'tau': '40', 'acc_before': 0.9941255205234979, 'acc_after': 0.9833804283164783, 'attempts': 9} 
{'pra': '0', 'tau': '60', 'acc_before': 0.9954454193932183, 'acc_after': 0.9874888459250446, 'attempts': 11} 
{'pra': '1', 'tau': '00', 'acc_before': 0.9902215942891136, 'acc_after': 0.9800527959547888, 'attempts': 5} 
{'pra': '1', 'tau': '05', 'acc_before': 0.9907421177870316, 'acc_after': 0.9731744497323022, 'attempts': 21} 
{'pra': '1', 'tau': '10', 'acc_before': 0.9908164782867341, 'acc_after': 0.9843471148126115, 'attempts': 9} 
{'pra': '1', 'tau': '15', 'acc_before': 0.9926754907792981, 'acc_after': 0.9822464306960142, 'attempts': 5} 
{'pra': '1', 'tau': '20', 'acc_before': 0.9931030636525877, 'acc_after': 0.9810938429506246, 'attempts': 27} 
{'pra': '1', 'tau': '30', 'acc_before': 0.9947761748958953, 'acc_after': 0.9725423854848304, 'attempts': 23} 
{'pra': '1', 'tau': '40', 'acc_before': 0.9395449137418204, 'acc_after': 0.9331499107674004, 'attempts': 17} 
{'pra': '1', 'tau': '60', 'acc_before': 0.9796995835812017, 'acc_after': 0.9796995835812017, 'attempts': 0} 
{'pra': '2', 'tau': '00', 'acc_before': 0.9778963414634146, 'acc_after': 0.9642883700178465, 'attempts': 5} 
{'pra': '2', 'tau': '05', 'acc_before': 0.9882882212968471, 'acc_after': 0.9839939024390244, 'attempts': 14} 
{'pra': '2', 'tau': '10', 'acc_before': 0.6362284354550862, 'acc_after': 0.5817965496728138, 'attempts': 13} 
{'pra': '2', 'tau': '15', 'acc_before': 0.9896267102914932, 'acc_after': 0.9763347709696609, 'attempts': 16} 
{'pra': '2', 'tau': '20', 'acc_before': 0.9919504759071981, 'acc_after': 0.9819303985722784, 'attempts': 15} 
{'pra': '2', 'tau': '30', 'acc_before': 0.9913741820345032, 'acc_after': 0.9875446162998215, 'attempts': 7} 
{'pra': '2', 'tau': '40', 'acc_before': 0.9956127305175491, 'acc_after': 0.9828599048185603, 'attempts': 15} 
{'pra': '2', 'tau': '60', 'acc_before': 0.9969140392623439, 'acc_after': 0.980406008328376, 'attempts': 22} 
{'pra': '3', 'tau': '00', 'acc_before': 0.9872471743010113, 'acc_after': 0.981131023200476, 'attempts': 15} 
{'pra': '3', 'tau': '05', 'acc_before': 0.988343991671624, 'acc_after': 0.9796995835812017, 'attempts': 10} 
{'pra': '3', 'tau': '10', 'acc_before': 0.9900914634146342, 'acc_after': 0.9851836704342654, 'attempts': 10} 
{'pra': '3', 'tau': '15', 'acc_before': 0.9917645746579417, 'acc_after': 0.9862247174301011, 'attempts': 4} 
{'pra': '3', 'tau': '20', 'acc_before': 0.9942556513979774, 'acc_after': 0.9767251635930994, 'attempts': 51} 
{'pra': '3', 'tau': '30', 'acc_before': 0.9955569601427722, 'acc_after': 0.974884741225461, 'attempts': 11} 
{'pra': '3', 'tau': '40', 'acc_before': 0.9961518441403926, 'acc_after': 0.9847375074360499, 'attempts': 9} 
{'pra': '3', 'tau': '60', 'acc_before': 0.9962819750148721, 'acc_after': 0.995259518143962, 'attempts': 15} 
{'pra': '4', 'tau': '00', 'acc_before': 0.9897196609161214, 'acc_after': 0.984681737061273, 'attempts': 3} 
{'pra': '4', 'tau': '05', 'acc_before': 0.9898497917906008, 'acc_after': 0.9838451814396193, 'attempts': 6} 
{'pra': '4', 'tau': '10', 'acc_before': 0.9920248364069006, 'acc_after': 0.9843471148126115, 'attempts': 17} 
{'pra': '4', 'tau': '15', 'acc_before': 0.9929543426531826, 'acc_after': 0.9873773051754908, 'attempts': 10} 
{'pra': '4', 'tau': '20', 'acc_before': 0.9946274538964902, 'acc_after': 0.988343991671624, 'attempts': 9} 
{'pra': '4', 'tau': '30', 'acc_before': 0.9958915823914337, 'acc_after': 0.988343991671624, 'attempts': 6} 
{'pra': '4', 'tau': '40', 'acc_before': 0.9973973825104104, 'acc_after': 0.9917831647828673, 'attempts': 3} 
{'pra': '4', 'tau': '60', 'acc_before': 0.9978621356335514, 'acc_after': 0.9913184116597263, 'attempts': 6} 
